speciesCode,english_name,spanish_name,scientific_name,target_species,iconic_species,tour_visibility,tour_fit,target_difficulty,photography_difficulty,best_time_of_day,best_months,habitat_primary,habitat_secondary,elevation_min_m,elevation_max_m,route_cluster_primary,route_cluster_secondary,primary_hotspot_name,primary_hotspot_ebird_loc_id,secondary_hotspot_name,secondary_hotspot_ebird_loc_id,walking_level,access_level,reliability_score_manual,rarity_score_manual,photography_score_manual,opportunity_weight_manual,pricing_complexity,custom_tour_priority,half_day_visibility_note_en,half_day_visibility_note_es,full_day_visibility_note_en,full_day_visibility_note_es,guide_notes_en,guide_notes_es,internal_notes,needs_review,ebird_enabled,active
refspi1,Red-faced Spinetail,Curutié Carirrojo,Cranioleuca erythrops,TRUE,FALSE,custom_only,custom_private,hard,hard,early_morning,year_round,cloud forest understory and midstory,mixed flocks,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,50,70,40,1,premium,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
slaspi1,Slaty Spinetail,Pijuí Pizarroso,Synallaxis brachyura,TRUE,FALSE,custom_only,custom_private,moderate,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,60,45,75,65,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
azaspi1,Azara's Spinetail,Pijuí de Azara,Synallaxis azarae,TRUE,FALSE,custom_only,custom_private,hard,hard,early_morning,year_round,cloud forest understory and midstory,mixed flocks,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,50,70,40,1,premium,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
rufspi1,Rufous Spinetail,Pijuí Rufo,Synallaxis unirufa,TRUE,FALSE,custom_only,custom_private,hard,hard,early_morning,year_round,cloud forest understory and midstory,mixed flocks,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,50,70,40,1,premium,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
gowman1,Golden-winged Manakin,Saltarín Alidorado,Masius chrysopterus,TRUE,TRUE,full_day,full_day,moderate,moderate,morning,to_review,cloud forest understory,forest trails,,,rio_nambillo,,Rio Nambillo and forest trails,,,,moderate,moderate,70,,,,standard_plus,high,,,,,Good full-day target and attractive for visitors interested in behavior/photography.,,Starter enrichment by Codex.,FALSE,TRUE,TRUE
clwman1,Club-winged Manakin,Saltarín Alitorcido,Machaeropterus deliciosus,TRUE,TRUE,custom_only,custom_private,hard,hard,early_morning,to_review,lower elevation Choco forest,lek areas,,,milpe_silanche,,Milpe and Silanche lowland route,,,,moderate,hard,55,,,,premium_plus,high,,,,,Special Choco target. Best as custom private route with recent sightings check.,,Starter enrichment by Codex.,FALSE,TRUE,TRUE
gabfru1,Green-and-black Fruiteater,Frutero Verdinegro,Pipreola riefferii,TRUE,FALSE,full_day,full_day,moderate,hard,morning,to_review,cloud forest fruiting trees,,,,rio_nambillo,,Rio Nambillo and forest trails,,,,moderate,moderate,58,,,,standard_plus,medium,,,,,Good supporting fruiteater target when fruiting activity is known.,,Second-batch starter enrichment by Codex. Confirm current route/local reliability before quoting.,FALSE,TRUE,TRUE
scafru1,Scaled Fruiteater,Frutero Escamoso,Ampelioides tschudii,TRUE,FALSE,full_day,full_day,moderate,moderate,morning,to_review,cloud forest,fruiting trees,,,rio_nambillo,,Rio Nambillo and forest trails,,,,moderate,moderate,60,,,,standard_plus,medium,,,,,Good supporting target for full-day cloud forest routes.,,Starter enrichment by Codex.,FALSE,TRUE,TRUE
andcot1,Andean Cock-of-the-rock,Gallito de las Rocas Peruano,Rupicola peruvianus,TRUE,TRUE,custom_only,custom_private,moderate,moderate,early_morning,to_review,cloud forest lek area,forest edge,,,paz_de_las_aves,,Paz de las Aves area,,,,moderate,special_access,82,,,,premium,signature,,,,,High-demand target. Best handled as a custom early-morning private route with access planning.,,Starter enrichment by Codex. Confirm current lek/access details before quoting.,FALSE,TRUE,TRUE
olipih2,Olivaceous Piha,Guardabosques Oliváceo,Snowornis cryptolophus,TRUE,FALSE,custom_only,custom_private,hard,hard,early_morning,year_round,cloud forest,forest edge and mixed habitat,1250,1900,rio_nambillo,,Mindo--El Monte Sustainable Lodge,,,,moderate,moderate,50,70,40,1,premium,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Río Nambillo and Forest Trails.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Río Nambillo y Senderos de Bosque.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
putfru1,Purple-throated Fruitcrow,Cotinga Quérula,Querula purpurata,TRUE,TRUE,custom_only,custom_private,hard,hard,early_morning,year_round,Chocó foothill forest,forest canopy and understory,400,1300,milpe_silanche,,Milpe Bird Sanctuary (including former Milpe Gardens),,,,moderate,long_drive,50,85,40,1,premium,high,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Milpe and Silanche Lowland Route.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Ruta Milpe y Silanche.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
mastit1,Masked Tityra,Titira Enmascarado,Tityra semifasciata,TRUE,FALSE,full_day,full_day,moderate,moderate,early_morning,year_round,cloud forest,forest edge and mixed habitat,1250,1900,rio_nambillo,,Mindo--El Monte Sustainable Lodge,,,,moderate,moderate,65,50,60,1,standard,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Río Nambillo and Forest Trails.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Río Nambillo y Senderos de Bosque.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
barbec1,Barred Becard,Anambé Barrado,Pachyramphus versicolor,TRUE,FALSE,custom_only,custom_private,hard,hard,early_morning,year_round; check recent activity before confirming,cloud forest and forest edge,Mindo route habitat,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,52,72,42,1,standard_plus,medium,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=86. Needs MBW guide review for final positioning.,FALSE,TRUE,TRUE
cinbec1,Cinnamon Becard,Anambé Canelo,Pachyramphus cinnamomeus,TRUE,FALSE,full_day,full_day,moderate,moderate,early_morning,year_round,cloud forest,forest edge and mixed habitat,1250,1900,rio_nambillo,,Mindo--El Monte Sustainable Lodge,,,,moderate,moderate,65,50,60,1,standard,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Río Nambillo and Forest Trails.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Río Nambillo y Senderos de Bosque.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
whwbec1,White-winged Becard,Anambé Aliblanco,Pachyramphus polychopterus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
bawbec6,Cryptic Becard,Anambé Picofino,Pachyramphus salvini,TRUE,FALSE,full_day,full_day,moderate,moderate,early_morning,year_round,cloud forest,forest edge and mixed habitat,1250,1900,rio_nambillo,,Mindo--El Monte Sustainable Lodge,,,,moderate,moderate,65,50,60,1,standard,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Río Nambillo and Forest Trails.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Río Nambillo y Senderos de Bosque.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
oncbec1,One-colored Becard,Anambé Unicolor,Pachyramphus homochrous,TRUE,FALSE,custom_only,custom_private,hard,hard,early_morning,year_round; check recent activity before confirming,cloud forest and forest edge,Mindo route habitat,1250,1900,rio_nambillo,,guide review route area,,,,moderate,moderate,52,72,42,1,standard_plus,medium,"Best treated as a target bird only when route, recent activity, and timing are favorable.","Mejor tratarla como ave objetivo solo cuando la ruta, actividad reciente y horario son favorables.","Better with a full day or custom private route because it adds time, habitat variety, and flexibility.","Mejor con día completo o ruta privada personalizada porque agrega tiempo, variedad de hábitat y flexibilidad.",Next-batch target added for guest selection. Suggested route: rio_nambillo. Confirm recent eBird activity and access before promising route details.,Objetivo agregado para selección de visitantes. Ruta sugerida: rio_nambillo. Confirmar actividad reciente en eBird y acceso antes de detallar la ruta.,Auto-enriched next batch. Score heuristic=86. Needs MBW guide review for final positioning.,FALSE,TRUE,TRUE
surfly1,Sulphur-rumped Flycatcher,Moscareta Culiamarilla,Myiobius sulphureipygius,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
whtspa1,White-throated Spadebill,Picoplano Bigotudo,Platyrinchus mystaceus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
stnfly1,Streak-necked Flycatcher,Mosquero Gorjiestriado,Mionectes striaticollis,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
olsfly1,Olive-striped Flycatcher,Mosquero Rayadito,Mionectes galbinus,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
slcfly1,Slaty-capped Flycatcher,Orejero Coronigrís,Leptopogon superciliaris,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
mfbtyr1,Marble-faced Bristle-Tyrant,Orejerito Jaspeado,Pogonotriccus ophthalmicus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
rhptyr1,Rufous-headed Pygmy-Tyrant,Tiranuelo Cabecirrojo,Pseudotriccus ruficeps,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
scptyr1,Scale-crested Pygmy-Tyrant,Cimerillo Andino,Lophotriccus pileatus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
rcttyr1,Rufous-crowned Tody-Flycatcher,Titirijí Capirrufo,Poecilotriccus ruficeps,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
cotfly1,Common Tody-Flycatcher,Titirijí Común,Todirostrum cinereum,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
cinfly2,Cinnamon Flycatcher,Birro Chico,Pyrrhomyias cinnamomeus,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
ornfly1,Ornate Flycatcher,Mosquerito Adornado,Myiotriccus ornatus,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
brctyr,Brown-capped Tyrannulet,Mosquerito Coronipardo,Ornithion brunneicapillus,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
sobtyr1,Southern Beardless-Tyrannulet,Mosquerito Silbón,Camptostoma obsoletum,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
whttyr1,White-tailed Tyrannulet,Piojito Coliblanco,Mecocerculus poecilocercus,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
ruwtyr1,Rufous-winged Tyrannulet,Piojito Alirrufo,Mecocerculus calopterus,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
tuttyr1,Tufted Tit-Tyrant,Cachudito Piquinegro,Anairetes parulus,TRUE,FALSE,custom_only,custom_private,moderate,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
yeltyr1,Yellow Tyrannulet,Mosquerito Amarillo,Capsiempis flaveola,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
yebela1,Yellow-bellied Elaenia,Fiofío Ventriamarillo,Elaenia flavogaster,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
